passage_id,cn,vn,en
H3_10_20,我认为你一定读过那本历史书。,Tôi cho rằng bạn nhất định đã đọc qua quyển sách lịch sử đó.,I think you must have read that history book.
H3_11_1,这种咖啡特别好喝，你快来喝一口吧。真的很好喝，我们多买几瓶吧。,"Loại cà phê này đặt biệt ngon, bạn nhanh đến uống một ngụm đi. Thật sự rất ngon đấy, chúng ta mua thêm vài chai nữa đi.","This kind of coffee is particularly delicious, come and have a sip. It's really delicious, let's buy a few more bottles."
H3_11_2,这本词典是我同学的，不是我的。,"Cuốn từ điển này là của bạn học của tôi, không phải của tôi.","This dictionary belongs to my classmate, not me."
H3_11_3,拿两双筷子就可以了，今天爸爸不回来吃晚饭。,"Lấy hai đôi đũa thôi là được rồi, hôm nay bố sẽ không về ăn tối đâu.","Two pairs of chopsticks are enough, Dad is not coming back for dinner today."
H3_11_4,桌子上有一个瓶子，是谁的？,"Trên bàn có một cái chai, là của ai vậy?","There is a bottle on the table, whose is it?"
H3_11_5,今天太热了，你怎么没开空调？,"Hôm nay trời nóng quá, sao anh không bật điều hòa?","It's so hot today, why didn't you turn on the air conditioner?"
H3_11_6,你把电视机和灯关了吧，我要睡觉了。,"Bạn tắt TV và đèn đi, tôi phải đi ngủ rồi.","Turn off the TV and the lights, I'm going to sleep."
H3_11_7,昨天我借了一本书。你可以帮我把书还了吗？明天上午可以吗？,Hôm qua tôi đã mượn một cuốn sách. Bạn có thể giúp tôi trả sách được không? Sáng ngày mai có được không?,I borrowed a book yesterday. Can you help me return it? Is tomorrow morning okay?
H3_11_8,音乐会结束以后，我们一起去饭馆吃饭吧。,"Sau khi buổi hòa nhạc kết thúc, chúng ta cùng nhau đi nhà hàng ăn cơm nhé.","After the concert is over, let's go to a restaurant for dinner together."
H3_11_9,你下课以后常常做什么？我下了汉语课习惯去图书馆。,Bạn sau giờ học thường làm gì ? Tôi sau giờ học tiếng Trung có thói quen đi đến thư viện.,What do you often do after class? I'm used to going to the library after my Chinese class.
H3_11_10,今天的会议是几点的？下午四点，半个小时后你把会议室的空调开吧,"Cuộc họp hôm nay là mấy giờ? Bốn giờ chiều, nửa tiếng sau bạn bật điều hòa trong phòng họp đi.",What time is today's meeting? 4 p.m. Turn on the air conditioner in the meeting room in half an hour.
H3_11_11,今天是我妻子的生日。我带她去西餐厅，她觉得很特别。,Hôm nay là sinh nhật của vợ tôi. Tôi dẫn cô ấy đến một nhà hàng Tây. Cô ấy cảm thấy rất đặc biệt.,"Today is my wife's birthday. I took her to a Western restaurant, she thought it was very special."
H3_11_12,王经理从美国飞中国，今天五点左右就能到。,"Giám đốc Vương bay từ Mỹ đến Trung Quốc, hôm nay khoảng 5 giờ mới có thể tới.","Manager Wang is flying from the US to China, he should be able to arrive around five o'clock today."
H3_11_13,要知道这个汉字的读音，我们应该买一个字典。,"Muốn biết cách phát âm của chữ Hán này, chúng ta nên mua một cuốn từ điển.","To know the pronunciation of this Chinese character, we should buy a dictionary."
H3_11_14,爸爸正要把车开进去，外面就下雨。,"Bố chuẩn bị lái xe ô tô đi vào trong, thì bên ngoài đổ mưa.",Dad was about to drive the car in when it started to rain outside.
H3_11_15,我打算买笔记本电脑，你明天和我一起去吧。,"Tôi dự định sẽ mua một chiếc máy tính xách tay, bạn vào ngày mai đi cùng với tôi nha.","I'm planning to buy a laptop, come with me tomorrow."
H3_11_16,说你是猪吧。我是猪。说我是猪，我是猪。,"Nói bạn là heo đi. Tôi là heo. Nói tôi là heo, tôi là heo.","Say you are a pig. I am a pig. Say I am a pig, I am a pig."
H3_11_17,你今年多大？我今年十八岁。你是不是骗我吗？你才十八岁啊。,Bạn năm nay bao nhiêu tuổi? Năm nay tôi mười tám tuổi. Bạn có phải đang gạt tôi không? Bạn chỉ mới mười tám thôi à.,How old are you this year? I am eighteen this year. Are you lying to me? You are only eighteen.
H3_11_18,生日你喜欢吃西餐还是中餐。我什么都喜欢。,Sinh nhật bạn thích đồ ăn Tây hay đồ ăn Trung. Tôi cái gì cũng thích.,Do you like to eat Western food or Chinese food for your birthday? I like everything.
H3_11_19,我每天早上都习惯打开电脑，看看电子邮件。很少写信和用笔来写字了。,"Tôi buổi sáng mỗi ngày đều có thói quen bật máy tính, xem email. Rất ít khi viết thư và dùng bút viết chữ nữa.",I'm used to turning on my computer every morning to check my email. I rarely write letters or write with a pen anymore.
H3_11_20,我们不是要点酒吗？你看想喝什么酒。,"Chúng ta không phải gọi một chút rượu sao? Bạn xem, muốn uống rượu gì.",Aren't we going to order some wine? See what kind of wine you want to drink.
H3_12_1,这张画真漂亮，太阳画得很好看。,"Bức tranh này thật đẹp, mặt trời được vẽ rất đẹp.","This painting is so beautiful, the sun is painted very well."
H3_12_2,你看，就是那位司机找到了我的手机。,"Bạn nhìn đi, chính là vị tài xế đó đã tìm thấy điện thoại của tôi.","Look, it was that driver who found my phone."
H3_12_3,桌子上有一个钱包，是谁的？,"Trên bàn có một cái ví tiền, là của ai vậy?","There is a wallet on the table, whose is it?"
H3_12_4,明天我去北京旅游，我现在需要准备行李箱。你的护照在这儿。,"Ngày mai tôi sẽ đi du lịch Bắc Kinh, tôi bây giờ phải chuẩn bị vali. Hộ chiếu của bạn ở chỗ này.","I'm going to Beijing for a trip tomorrow, I need to prepare my suitcase now. Your passport is here."
H3_12_5,我现在能去一下洗手间吗？对不起，飞机就要起飞了，请您坐好。,"Tôi bây giờ có thể đi nhà vệ sinh một chút không? Xin lỗi, máy bay sắp cất cánh, xin ngài hãy ngồi yên.","Can I go to the restroom now? Sorry, the plane is about to take off, please be seated."
H3_12_6,今天我又迟到了，经理都生气了。,"Hôm nay tôi lại đến muộn, giám đốc đã tức giận.","I was late again today, the manager is angry."
H3_12_7,我发现公司楼下那家店的蛋糕特别好吃。是吗？那快点给我买一块。,Tôi phát hiện bánh kem ở cửa hàng tầng dưới của công ty đặc biệt ngon. Vậy à? Vậy nhanh mua cho tôi một phần nhé.,I found that the cake at the shop downstairs from the company is particularly delicious. Really? Then quickly buy me a piece.
H3_12_8,太阳从西边出来了。你今天穿球鞋了。我今天要参加一个运动会。,Mặt trời mọc phía tây ư. Bạn hôm nay mang giày thể thao rồi. Tôi hôm nay phải tham dự một đại hội thể thao.,The sun has risen from the west. you are wearing sneakers today. I have a sports meeting to attend today.
H3_12_9,行李箱装了什么？我一个人搬不动，你过来帮我一下。,"Vali đã chứa những gì? Một mình tôi không thể chuyển nổi, Bạn qua đây giúp tôi một tí đi.","What's in the suitcase? I can't move it by myself, come and help me."
H3_12_10,我出国一个星期，你和儿子怎么办？不用担心，饭菜我可以做，我可以照顾好儿子。,"Tôi đi ra nước ngoài một tuần, bạn và con trai thì phải làm sao? Không cần lo lắng, tôi có thể nấu các bữa ăn, tôi có thể chăm sóc con trai.","I'm going abroad for a week, what will you and our son do? Don't worry, I can cook, I can take good care of our son."
H3_12_11,今天的晚上，天上的星星很美丽。快点出来看看。,"Tối hôm nay, những vì sao trên bầu trời rất đẹp. Nhanh ra ngoài xem thử.","Tonight, the stars in the sky are very beautiful. Come out and have a look."
H3_12_12,那位老人是王秘书的爸爸。小王到了国家机场才发现忘了护照，爸爸就帮他带来。,"Ông lão kia là cha của Thư ký Vương. Tiểu Vương đến tới sân bay quốc gia rồi  mới chợt phát hiện mình đã quên hộ chiếu, cha đã mang đến giúp cho anh ấy.","That old man is Secretary Wang's father. Xiao Wang didn't realize he had forgotten his passport until he got to the national airport, so his father brought it for him."
H3_12_13,你儿子很喜欢画画儿，喜欢画小鸡，小狗，小猫。你看看，可爱不可爱。,"Con trai bạn rất thích vẽ tranh, thích vẽ chim, chó con, mèo con. Bạn xem thử, dễ thương hay không.","Your son likes to draw very much, he likes to draw chicks, puppies, and kittens. Take a look, aren't they cute?"
H3_12_14,把客人的电子邮箱给我，我有重要的事情，想跟他们聊。,"Cho tôi địa chỉ email của khách hàng, tôi có chuyện quan trọng, muốn nói chuyện với bọn họ.","Give me the guest's email address, I have something important to discuss with them."
H3_12_15,先生，您好。您想买什么？我下个星期去旅游，我想买大大的行李箱，和一个球。,"Tiên sinh/ông, chào ông. Ông muốn mua gì? Tôi đi du lịch vào tuần sau, tôi muốn mua một chiếc vali lớn, và một quả bóng.","Hello, sir. What would you like to buy? I'm going on a trip next week, I want to buy a large suitcase and a ball."
H3_12_16,喂，丽丽，我的那些图片是不是在你那儿。啊对了，是你忘在这里。现在也不早了，明天你再来吧。好的，晚安。,"Alo Lili, Bức ảnh đó của tôi có phải là ở chỗ bạn không? À đúng rồi, bạn để quên ở chổ này. Bây giờ cũng không còn sớm, ngày mai bạn quay lại đi. OK, chúc ngủ ngon.","Hello, Lili, are my pictures with you? Oh right, you forgot them here. It's not early now, you can come back tomorrow. Okay, good night."
H3_12_17,明天我儿子就参加一个足球比赛，我想给他买一双球鞋。有没有蓝色的或黑色的吗？,"Ngày mai con trai tôi sẽ tham gia một trận bóng đá, tôi muốn mua cho anh ấy một đôi giày thể thao. Có cái màu xanh dương hoặc cái màu đen không?","My son is participating in a soccer game tomorrow, I want to buy him a pair of sneakers. Are there any blue or black ones?"
H3_12_18,这个菜叫作什么？需不需要打包回家？,Món này được gọi là gì? Có cần phải đóng gói đem về nhà không?,What is this dish called? Do I need to pack it to go home?
H3_12_19,你发现了什么事情？这么高兴，快点告诉我。,"Bạn đã phát hiện ra việc gì? Vui đến như vậy sao, nhanh nói cho tôi biết.","What did you discover? You are so happy, tell me quickly."
H3_12_20,我们班的男生买了一个足球。,Nam sinh trong lớp chúng tôi đã mua một quả bóng đá.,The boys in our class bought a soccer ball.
H3_13_1,周末你们一般在哪儿吃饭？在家吃还是出去吃啊？,Vào cuối tuần thông thường bạn đi ăn ở đâu? Ăn ở nhà hay đi ra ngoài ăn?,Where do you usually eat on weekends? Do you eat at home or go out?
H3_13_2,终于考完试了，我们去哪儿玩儿？我们去上海旅游怎么样，去三天两夜。,"Cuối cùng đã thi xong, chúng ta sẽ đi chơi ở đâu? Chúng ta đi du lịch Thượng Hải thì như thế nào, đi ba ngày hai đêm.","The exams are finally over, where should we go to play? How about we go on a trip to Shanghai for three days and two nights?"
H3_13_3,我不愿意去那个公司工作，太远，也太累。到半夜才能回家。,"Tôi không muốn làm việc trong công ty đó, xa quá, cũng quá mệt mỏi. Đến nửa đêm mới có thể về tới nhà.","I don't want to work for that company, it's too far and too tiring. I can't get home until midnight."
H3_13_4,那个饭馆离我们学校很近，我们经常去。,"Nhà hàng đó cách trường chúng tôi rất gần, chúng tôi thường đến đó.","That restaurant is very close to our school, we go there often."
H3_13_5,我们现在都要关机，一会儿王经理走进来的时候，请大家站起来。,"Chúng ta hiện tại đều phải tắt máy(điện thoại). Một lát nữa khi giám đốc Vương bước vào, xin mọi người hãy đứng lên.","We all need to turn off our phones now, and when Manager Wang comes in in a moment, everyone please stand up."
H3_13_6,我忘了把这本书还给丽丽了。没关系，明天我帮你送过去吧。,"Tôi quên trả quyển sách này cho Lili. Không sao đâu, ngày mai tôi sẽ giúp bạn gửi qua đó.","I forgot to return this book to Lili. It's okay, I'll help you deliver it tomorrow."
H3_13_7,前边那位老人是谁？他是我们的校长。,Vị người già phía trước là ai? Ông ấy là hiệu trưởng của chúng tôi.,Who is that old man in front? He is our principal.
H3_13_8,你怎么回来这么晚？回家的路上遇到张老师了，我们一边走一边聊。,"Sao bạn lại về muộn đến như vậy? Trên đường về nhà, tôi gặp giáo viên Trương, chúng tôi vừa đi vừa trò chuyện.","Why are you back so late? I met Teacher Zhang on the way home, we walked and talked."
H3_13_9,下个月是爷爷的生日，你有什么打算？我要送他一件特别的礼物。,"Tháng sau là sinh nhật của ông nội, bạn đã có kế hoạch gì chưa? Tôi muốn tặng anh ấy một món quà đặc biệt.","Next month is grandpa's birthday, what are your plans? I want to give him a special gift."
H3_13_10,起来吧，没事吗？我起不来了，腿很疼。,"Đứng dậy, không sao chứ? Tôi không thể đứng dậy, chân rất đau.","Get up, are you okay? I can't get up, my leg hurts a lot."
H3_13_11,真巧？遇到了我以前的高中同学。,Thật là trùng hợp? Gặp được những người bạn học cấp 3 lúc trước của tôi.,What a coincidence? I ran into my old high school classmate.
H3_13_12,媳妇，我的笔记本放哪儿了，怎么找不到了？不是在你的桌子上吗？,"Vợ ơi, quyển sổ của tôi để ở đâu, tại sao tìm không thấy nữa vậy? Không phải nó trên bàn của anh sao.","Wife, where did I put my notebook, why can't I find it? Isn't it on your desk?"
H3_13_13,蛋和奶都买好了，我们还要买什么？,"Trứng và sữa đã được mua, chúng ta còn mua gì nữa?","I've bought the eggs and milk, what else do we need to buy?"
H3_13_14,今天我丈夫起来晚了，早餐还没吃就去医院了。他的工作就是他的生活。我怕他累坏了。,"Hôm nay chồng tôi dậy muộn, chưa ăn sáng  ăn thì phải đến bệnh viện. Công việc của anh ấy chính là cuộc sống của anh ấy. Tôi sợ anh ấy mệt quá sức.",My husband got up late today and went to the hospital without having breakfast. His work is his life. I'm afraid he'll get exhausted.
H3_13_15,红酒和白酒你喜欢哪一个？我更喜欢红酒。我们一边喝酒一边看电视剧吧。,Bạn thích rượu đỏ hay rượu trắng? Tôi thích rượu đỏ hơn. Chúng ta vừa uống rượu vừa xem phim truyền hình nha.,"Which do you prefer, red wine or white wine? I prefer red wine. Let's drink wine and watch a TV series."
H3_13_16,爸爸的爸爸是爷爷，爸爸的妈妈是奶奶。,"Bố của bố là ông nội, và mẹ của bố là bà nội.","Father's father is grandpa, father's mother is grandma."
H3_13_17,你认识王小姐？当然认识，我们从初中就认识了。,"Bạn có quen biết tiểu thư Vương không? Tất nhiên biết rồi, chúng tôi từ thời tiểu học đã biết nhau rồi.","Do you know Miss Wang? Of course I know her, we've known each other since junior high school."
H3_13_18,像他没意思的人，一定没有女孩子喜欢他。,"Người không thú vị giống như anh ấy, nhất định không có cô gái nào thích anh ấy.",A boring person like him must not be liked by any girls.
H3_13_19,你的午餐吃什么？一般都吃鸡肉和米饭。,Bữa cơm trưa bạn ăn gì? Thông thường đều ăn thịt gà và cơm.,What do you have for lunch? I usually have chicken and rice.
H3_13_20,我的晚餐是两个鸡蛋，一个苹果，一杯咖啡。,"Bữa cơm tối của tôi là hai quả trứng, một quả táo, một tách cà phê.","My dinner is two eggs, an apple, and a cup of coffee."
H3_14_1,我现在在国外，这里的信号不太好。,"Tôi bây giờ đang ở nước ngoài, tín hiệu ở đây không tốt lắm.","I'm abroad now, the signal here is not very good."
H3_14_2,我来做饭，你来洗碗子盘子，怎么样？,"Tôi nấu ăn còn bạn rửa chén dĩa, như thế nào?","I'll cook, you wash the dishes, how about that?"
H3_14_3,我们买几斤芒果和香蕉吧，家里没有水果了。,"Chúng tôi mua mấy cân xoài và chuối đi, ở nhà không còn trái cây nữa.","Let's buy a few catties of mangoes and bananas, there's no fruit at home."
H3_14_4,跟朋友一起喝着饮料看电视节目，是最快乐的事。,"Cùng với bạn bè vừa uống thức uống và xem các chương trình truyền hình, là việc vui vẻ nhất.",Watching TV programs with friends while drinking beverages is the happiest thing.
H3_14_5,服务员，请拿菜单过来，我们要点菜。,"Nhân viên phục vụ, vui lòng mang thực đơn qua đây, chúng tôi muốn gọi món.","Waiter, please bring the menu, we want to order."
H3_14_6,每天晚上，爸爸都要给女儿讲一个故事。,"Mỗi buổi tối, bố đều kể cho con gái nghe một câu chuyện.","Every night, Dad has to tell his daughter a story."
H3_14_7,我们什么时候吃晚饭？今天叔叔从远方过来。我们再等他一会儿吧。,Chúng ta khi nào ăn tối? Hôm nay chú từ phương xa đến. Chúng ta hãy đợi anh ấy thêm một chút nữa.,When are we having dinner? Uncle is coming from far away today. Let's wait for him a little longer.
H3_14_8,听！是谁在外边说话？没有声音啊。你听错了。,Nghe xem! Là ai đang nói chuyện bên ngoài? Đâu có tiếng (âm thanh). Bạn nghe nhầm rồi.,Listen! Who is talking outside? There's no sound. you misheard.
H3_14_9,你觉得洗衣服很简单，可我觉得很难。那你帮我打扫房间吧。,"Bạn cảm thấy giặt quần áo thì đơn giản, nhưng tôi lại thấy rất khó. Vậy bạn giúp tôi dọn dẹp phòng đi.","You think washing clothes is easy, but I think it's hard. Then you can help me clean the room."
H3_14_10,那么多衣服，终于洗完了！都洗干净了吗？,"Nhiều quần áo như vậy, cuối cùng cũng giặt xong! Đều đã giặt sạch hết chưa?","So many clothes, finally finished washing! Are they all clean?"
H3_14_11,这个地方真美！是啊，像画儿一样。,"Chỗ này thật đẹp! Vâng, giống như một bức tranh.","This place is so beautiful! Yes, it's like a painting."
H3_14_12,院长，明天是我女儿生日了。我想请一天假。,"Viện trưởng, ngày mai là sinh nhật của con gái tôi. Tôi muốn xin nghỉ một ngày.","Dean, tomorrow is my daughter's birthday. I would like to ask for a day off."
H3_14_13,帮我倒杯水吧。你多么喜欢吃方便面啊。,Rót giúp cho tôi ly nước. Bạn thích mì ăn liền đến như vậy à?,Pour me a glass of water. How much you like to eat instant noodles.
H3_14_14,今晚的月亮很大，像大盘子一样。我们出来一边看月亮，一边听音乐。,"Trăng đêm nay rất to, giống như cái đĩa lớn. Chúng ta đi ra ngoài vừa ngắm trăng vừa nghe nhạc nhé.","The moon is very big tonight, like a big plate. Let's go out and listen to music while watching the moon."
H3_14_15,今天风刮得真大。我的自行车都被风刮倒了。,Hôm nay gió thổi thật lớn. Chiếc xe đạp của tôi đã bị gió bay đến ngã luôn.,The wind is blowing so hard today. My bicycle was blown over by the wind.
H3_14_16,叔叔阿姨今天来我们家做客，我们多买一些水果。叔叔很爱吃芒果，我们多买几斤。,"Hôm nay chú và dì đến thăm nhà chúng ta (làm khách), chúng ta mua thêm một số trái cây. Chú rất thích ăn xoài, chúng ta mua thêm mấy cân đi.","Uncle and aunt are coming to our house today, let's buy some more fruit. Uncle loves mangoes, let's buy a few more catties."
H3_14_17,我喜欢读书的时候一边看书一边做笔记。,Tôi thích vừa xem vừa ghi chú khi đọc sách.,I like to take notes while reading.
H3_14_18,我们出来吧。记得要关上门。,Chúng ta đi ra ngoài đi. Nhớ phải đóng cửa (khóa cửa).,Let's go out. Remember to close the door.
H3_14_19,老师在讲话的时候，你要认真听。这样才能听懂。,"Khi giáo viên giảng (nói), bạn phải chú ý lắng nghe. Như vậy mới có thể nghe hiểu.","When the teacher is talking, you have to listen carefully. Only then can you understand."
H3_14_20,过三个星期我们就要休假了。,"Qua ba tuần nữa, chúng ta sẽ nghỉ (nghỉ hè) rồi.",We will be on vacation in three weeks.
H3_15_1,队长，电子邮件我已经给您发过去了。,"Đội trưởng, email tôi đã gửi qua cho bạn.","Captain, I have already sent you the email."
H3_15_2,你每天跟谁练习口语？普通话讲得这么好。,Bạn mỗi ngày luyện nói (khẩu ngữ) với ai? Tiếng phổ thông nói tốt như vậy.,Who do you practice your spoken language with every day? You speak Mandarin so well.
H3_15_3,已经夜里十二点多了，但是今天的作业我还没完成。只好明天再做了。,"Đã hơn mười hai giờ đêm, nhưng bài tập của hôm nay vẫn chưa làm xong. Đành phải ngày mai lại làm tiếp.","It's already past twelve o'clock at night, but I haven't finished today's homework yet. I'll have to do it tomorrow."
H3_15_4,这个月我的钱都花完了，不能再买新衣服了。,"Tiền tháng này của tôi đã tiêu hết rồi, không thể mua quần áo mới nữa.","I've spent all my money this month, I can't buy any new clothes."
H3_15_5,我在这里只学了三个月汉语，但是水平提高了不少。,"Tôi chỉ học tiếng Trung ở chỗ này trong ba tháng, nhưng trình độ của tôi đã được nâng cao rất nhiều.","I have only studied Chinese here for three months, but my level has improved a lot."
H3_15_6,今天写五个句子，请大家准备好笔和纸。,"Hôm nay viết năm câu, mời mọi người chuẩn bị giấy và bút.","Write five sentences today, everyone please prepare a pen and paper."
H3_15_7,世界上有多少个国家？你知道吗？,Trên thế giới có bao nhiêu quốc gia? Bạn biết không?,How many countries are there in the world? Do you know?
H3_15_8,在我们国家，国庆节是我们最重要的节日，你们国家呢？当然是春节。,"Ở nước chúng tôi, lễ quốc khánh là ngày lễ quan trọng nhất của chúng tôi, còn đất nước của bạn thì sao? Tất nhiên là tết.","In our country, National Day is our most important holiday, what about your country? Of course it's the Spring Festival."
H3_15_9,刚才电视上的那条新闻真有意思！你快说说。,Tin tức lúc nãy trên TV thật thú vị! Bạn nhanh nói xem.,That news on TV just now was so interesting! Tell me about it quickly.
H3_15_10,我们新买的房子就在刚才过去的那条街上。那儿的街道除了很干净以外，也很安静，附近还有个花园。,"Căn nhà mà chúng tôi mới mua chính là nằm trên con phố mà chúng ta vừa đi qua. Con phố ở đó, bên cạnh sạch sẽ, còn rất yên tĩnh, gần đó có một vườn hoa.","The house we just bought is on the street we just passed. Besides being very clean, the streets there are also very quiet, and there is a garden nearby."
H3_15_11,我的手机从前天开始就不能上网了，您帮我看看吧。,"Điện thoại di động của tôi từ ngày hôm trước đã không thể lên mạng (truy cập Internet), bạn giúp tôi xem thử nhé.","My phone hasn't been able to access the internet since the day before yesterday, can you please take a look for me?"
H3_15_12,我们班除了老师，其他人都不是中国人，大家来自世界各地。,"Lớp chúng tôi, ngoại trừ giáo viên ra, những người khác đều không phải là người Trung Quốc, mọi người đến từ khắp nơi trên thế giới.","Except for the teacher, everyone else in our class is not Chinese, everyone comes from all over the world."
H3_15_13,现在，我们眼前除了高楼以外，还有干净的街道和漂亮的花园，这个地方的变化真是大极了。,"Bây giờ, trước mắt chúng ta ngoài những ngôi nhà cao tầng, còn có những con đường sạch sẽ và hoa viên xinh đẹp, sự thay đổi của nơi này thật sự cực lớn.","Now, in front of us, besides tall buildings, there are also clean streets and beautiful gardens, the changes in this place are really great."
H3_15_14,我来美国留学了三年。刚来到美国的时候，认识了很多外国朋友，了解很多不同文化。,"Tôi đến nước Mỹ du học trong ba năm. Lúc vừa đến nước Mỹ, đã quen biết rất nhiều người bạn nước ngoài, hiểu nhiều nền văn hóa khác nhau.","I have been studying in the United States for three years. When I first came to the United States, I met many foreign friends and learned about many different cultures."
H3_15_15,我们队有多少人？把名单给我看看。,Đội chúng ta có bao nhiêu người? Đưa danh sách cho tôi xem thử.,How many people are on our team? Show me the list.
H3_15_16,你回家要注意休息，不要太累。咖啡和啤酒要少喝，不要吃羊肉和鱼。,"Bạn về nhà nên chú ý nghỉ ngơi, đừng quá mệt mỏi. Cà phê và bia nên bớt uống lại, không được ăn thịt cừu và cá.","You should rest when you get home, don't be too tired. Drink less coffee and beer, and don't eat mutton and fish."
H3_15_17,以后大家在学习中有什么不懂的可以问我，有什么要求也可以和我说。,"Sau này, mọi người trong học tập có bất cứ điều không hiểu có thể hỏi tôi, có yêu cầu gì cũng có thể nói với tôi.","In the future, if you have anything you don't understand in your studies, you can ask me, and if you have any requests, you can also tell me."
H3_15_18,除了这个句子意思有些不清楚外，其他都不错。,"Ngoại trừ nghĩa của câu này chút không rõ ràng, mọi thứ khác đều tốt.","Except that the meaning of this sentence is a bit unclear, everything else is good."
H3_15_19,小朋友最喜欢中秋节。,Trẻ em thích nhất Tết Trung thu.,Children like the Mid-Autumn Festival the most.
H3_15_20,我不是中国人，我是越南人，只在中国短期学习。,"Tôi không phải là người Trung Quốc, tôi là người Việt Nam, chỉ học ở Trung Quốc trong một thời gian ngắn.","I am not Chinese, I am Vietnamese, I am only studying in China for a short period of time."
H3_16_1,如果我的丈夫能少一些会议，他就会多跟我和孩子在一起了。,"Nếu chồng tôi có thể có ít cuộc họp hơn, thì anh ấy sẽ bên cạnh tôi và các con nhiều hơn.","If my husband could have fewer meetings, he would spend more time with me and our child."
H3_16_2,你觉得哪个城市最好玩儿？北京还是上海。,Bạn nghĩ thành phố nào vui nhất? Bắc Kinh hay là Thượng Hải.,Which city do you think is the most fun? Beijing or Shanghai.
H3_16_3,我和同屋的关系不太好，怎么办？,"Quan hệ của tôi và bạn cùng phòng không tốt cho lắm, phải làm thế nào?","My relationship with my roommate is not very good, what should I do?"
H3_16_4,我女朋友鼻子高高的，头发长长的，非常好看。,"Mũi bạn gái tôi cao, tóc dài, vô cùng đẹp.","My girlfriend has a high nose and long hair, she is very beautiful."
H3_16_5,那个小狗真可爱，我们把它带回家吧。,"Chú chó nhỏ đó thật dễ thương, chúng ta mang nó về nhà đi.","That puppy is so cute, let's take it home."
H3_16_6,我的车总是有问题，我去检查了一下。,"Chiếc xe của tôi luôn luôn gặp vấn đề, tôi đi kiểm tra một chút.","My car always has problems, I went to have it checked."
H3_16_7,给我来一公斤苹果。,Cho tôi một kg táo.,Give me a kilogram of apples.
H3_16_8,今天起晚了，刷牙以后就来上课了。,"Hôm nay dậy muộn, sau khi đánh răng thì đến lớp luôn.","I got up late today, I came to class after brushing my teeth."
H3_16_9,我认为，还是北方更好玩儿一些。,"Tôi cho rằng, vẫn là miền bắc chơi vui hơn.",I think the north is more fun.
H3_16_10,这双鞋多少钱？有四十三号的吗？六百八，帮您找双四十三号的试试？,"Đôi giày này bao nhiêu tiền? Có số 43 không? Sáu trăm tám, giúp ông tìm số 43 thử xem nhé?","How much are these shoes? Do you have size 43? Six hundred and eighty, shall I find a pair of size 43 for you to try on?"
H3_16_11,刚才游泳时耳朵进水了，现在耳朵里一直不舒服。,"Vừa rồi khi bơi lỗ tai bị vào nước, hiện tại tai cứ luôn khó chịu.","I got water in my ear while swimming just now, and my ear has been uncomfortable ever since."
H3_16_12,家里人一般觉得，我的鼻子和嘴像我爸爸，我的眼睛像我妈妈,"Người trong nhà tôi thường cho rằng, mũi và miệng của tôi giống bố, mắt tôi giống mẹ tôi.","My family generally thinks that my nose and mouth are like my dad's, and my eyes are like my mom's."
H3_16_13,我儿子是在二零二零年八月出生的。,Con trai tôi ra đời vào tháng 8 năm 2020.,My son was born in August 2020.
H3_16_14,我的牙不疼了，应该没什么问题了吧？只听你说不行，我需要检查一下才清楚。,"Răng tôi không còn đau nữa, chắc là không có vấn đề gì nữa? Chỉ nghe bạn nói thôi là không được, tôi cần phải kiểm tra một tí mới rõ được.","My tooth doesn't hurt anymore, there shouldn't be any problem, right? Just listening to you is not enough, I need to check it to be sure."
H3_16_15,欢迎你来我们洗衣店，我和我的服务员很高兴为您服务。,"Hoan nghênh bạn đến với tiệm giặt là của chúng tôi, tôi và nhân viên phục vụ của tôi rất vui khi được phục vụ bạn.","Welcome to our laundromat, my staff and I are happy to serve you."
H3_16_16,牙医告诉我们，刷牙应该每天刷三次，每次最少要刷三分钟，这样才能把牙刷干净。,"Nha sĩ nói với chúng ta, nên đánh răng ba lần một ngày, mỗi lần ít nhất ba phút, như vậy mới có thể chải sạch răng.","The dentist told us that we should brush our teeth three times a day, for at least three minutes each time, in order to brush our teeth clean."
H3_16_17,我女儿每天都说“从明天开始我每天跑五千米”，我和妻子很早就给她买好了运动服，运动鞋。直到今天，鞋和衣服还都是新的。,"Con gái tôi mỗi ngày đều nói: “Bắt đầu từ ngày mai, con sẽ chạy 5000 mét mỗi ngày.”  Tôi và vợ tôi từ rất sớm mua cho con quần áo thể thao và giày thể thao. Cho đến hôm nay, giày và quần áo vẫn còn mới.","My daughter says every day, 'From tomorrow on, I will run five kilometers every day.' My wife and I bought her sportswear and sports shoes a long time ago. To this day, the shoes and clothes are still new."
H3_16_18,我们应该每年做一次体检，这样可以让自己放心，也让家人放心。,"Chúng ta nên khám sức khỏe định kỳ mỗi năm một lần, như vậy có thể để bản thân yên tâm, cũng để người trong gia đình yên tâm.","We should have a physical examination every year, so that we can be at ease and our families can be at ease."
